country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Bangladesh,1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4274893913.49536,,,,,,,,,,,49.451,21.222,44.74,50396429.0,47808572.0,,,
Bangladesh,1961-01-01,72.827840516248,,130170.0,2666.0,,,,,,,,,398.577006990858,,,,,,,,,,,,,,,,,4817580183.60155,,,,,,,,,,,49.606,20.509,45.662,51882769.0,49144396.0,,,
Bangladesh,1962-01-01,72.8047937312745,,130170.0,2666.0,,,,,,,,,410.706468464316,,,,,,,,,,,,,,,,,5081413339.78635,,,,,,,,,,,49.566,19.732,46.701,53461661.0,50522339.0,,,
Bangladesh,1963-01-01,72.827840516248,,130170.0,2666.0,,,,,,,,,423.24740723669,,,,,,,,,,,,,,,,,5319458351.16235,,,,,,,,,,,49.08,19.673,46.655,55094115.0,51938875.0,,,
Bangladesh,1964-01-01,73.1351309825613,,130170.0,2666.0,,,,,,,,,436.156295613429,,,,,,,,,,,,,,,,,5386054619.34987,,,,,,,,,,,48.618,18.815,47.741,56774465.0,53388436.0,,,
Bangladesh,1965-01-01,74.0339555965276,,130170.0,2666.0,,,,,,,,,449.413528462779,,,,,,,,,,,,,,,,,5906636557.00092,,,,,,,,,,,48.152,19.318,46.858,58500159.0,54866714.0,,,
Bangladesh,1966-01-01,74.1338249980794,,130170.0,2666.0,,,,,,,,,462.973488515019,,,,,,,,,,,,,,,,,6439687598.32325,,,,,,,,,,,47.789,18.052,48.577,60265259.0,56367905.0,,,
Bangladesh,1967-01-01,74.4795267726819,,130170.0,2666.0,,,,,,,,,477.102926941692,,,,,,,,,,,,,,,,,7253575399.3215,,,,,,,,,,,47.759,17.826,48.865,62104488.0,57922993.0,,,
Bangladesh,1968-01-01,74.2797879695783,,130170.0,2666.0,,,,,,,,,491.631343627564,,,,,,,,,,,,,,,,,7483685473.51275,,,,,,,,,,,47.578,17.649,49.09,63995652.0,59510197.0,,,
Bangladesh,1969-01-01,74.3258815395252,,130170.0,2666.0,,,,,,,,,506.006821848352,,,,,,,,,,,,,,,,,8471006100.95399,,,,,,,,,,,47.525,17.58,49.172,65866908.0,61061258.0,,,
Bangladesh,1970-01-01,74.4948912959975,,130170.0,2666.0,,,,,,,,,518.874241376661,,,,,,,,,,,,,,,,,8992721809.39332,,,,,,,,,,,47.443,22.303,42.587,67541860.0,62413407.0,,,
Bangladesh,1971-01-01,74.4795267726819,,130170.0,2666.0,,,,,,10.3837294038727,,,525.283890297304,,,,,,,,,,,,,,,,,8751842839.79658,,,,,,,,,,,47.608,41.023,25.996,68376204.0,62973800.0,,,
Bangladesh,1972-01-01,76.7534762234002,,130170.0,2666.0,,,,,,10.2384100297195,,,532.739532918491,,,,,,,,,,,,,,,,,6288245866.66667,,,,,,,,,,,47.459,17.093,49.591,69346705.0,63645712.0,,,
Bangladesh,1973-01-01,76.7381117000845,,130170.0,2666.0,,,,,,14.6461826636481,,,546.553107474841,,,,,,,,,,,,,,,,0.656720536673466,8086725729.3407,,,,,,,,,,,46.955,16.986,49.828,71144818.0,65059802.0,,,
Bangladesh,1974-01-01,76.7381117000845,,130170.0,2666.0,,,,,,16.1485320593668,,,560.404140739034,,,,,,,,,,,,,,,,0.604303491769365,12512460519.7088,,,,,,,,,,,46.676,17.429,49.16,72947807.0,66357702.0,,,
Bangladesh,1975-01-01,76.853345624952,,130170.0,2666.0,,,,,,16.2114378454343,,,573.867596220327,,,,,,,,,,,,,,,,0.844783330921373,19448348073.4565,,,,,,,,,,,46.175,16.628,50.292,74700345.0,67352819.0,,,
Bangladesh,1976-01-01,76.807252055005,,130170.0,2666.0,1.97088203059504,,,,,16.5095401837757,,,586.771760006146,,33.7950583515839,,,,,,,,,,,,,,1.52367897526514,10117113333.3333,,,,,,,,,,,46.15,16.431,50.647,76380080.0,68206648.0,,,
Bangladesh,1977-01-01,76.7534762234002,,130170.0,2666.0,2.58033713486354,,,,,17.494736349588,,,600.274932780211,,13.8615622627323,,,,,,,,,,,,,,1.56997781312899,9651149301.8746,,,,,,,,,,,46.051,16.144,51.197,78137788.0,69050363.0,,,
Bangladesh,1978-01-01,76.7227471767688,,130170.0,2666.0,2.66641358152918,,,,,20.635552519731,,,614.638933702082,,-12.2692196668971,,,,,,,,,,,,,,1.26898518073211,13281767142.8571,,,,,,,,,,,45.603,16.058,51.254,80007550.0,69903397.0,,,
Bangladesh,1979-01-01,76.6920181301375,,130170.0,2666.0,3.24330939246581,,,,,20.2788120562018,,,629.239847891219,,-2.09486764747741,,,,,,,,,,,,,,0.934292961052104,15565480321.9448,,,,,,,1.13092994689941,,,,45.452,15.894,51.464,81908151.0,70685915.0,,,
Bangladesh,1980-01-01,76.7227471767688,,130170.0,2666.0,3.81879255539333,,,,,18.1342101934874,,,644.770415610356,,-5.98813218232577,,,,,,,,,,,,,,0.857420859311264,18138049095.6072,,,,,,,0.937600016593933,,,,45.083,15.61,51.85,83929765.0,71465356.0,,,
Bangladesh,1981-01-01,76.6766536068218,,130170.0,2666.0,3.3315102595982,,,,,21.6702867381699,,,661.86399323961,,1.1279847996914,,,,,,,,,,,,,,0.915831691308672,20249694002.448,,,,,,,1.07149994373322,,,,44.734,15.351,52.169,86154836.0,72541510.0,,,
Bangladesh,1982-01-01,76.6536068218484,,130170.0,2666.0,3.5514761632207,,,,,24.4818674732373,,,680.305262349236,,1.1637738798396,,,,,,,,,,,,,,1.06086968537316,18525399201.5968,,,,,,,1.01163995265961,,,,44.255,15.032,52.54,88555336.0,74198745.0,,,
Bangladesh,1983-01-01,76.5460551586387,,130170.0,2666.0,3.52650011928518,,,,,27.8651950182523,,,699.435184758393,,2.43947329768899,,,,,,,,,,,,,,1.27067371198923,17609048821.5488,,,,,,,1.03267002105713,,,25.9,42.813,14.571,53.011,91045478.0,75903705.0,,,
Bangladesh,1984-01-01,77.2835522777906,,130170.0,2666.0,3.6229341488943,,,,,30.6518771163574,,,718.554497964201,,3.02081321608478,,,,,,,,,,,,,,1.17804196040112,18920840000.0,,,,,,,1.22302997112274,,,,41.81,14.077,53.54,93534239.0,77577298.0,,,
Bangladesh,1985-01-01,77.0300376430821,,130170.0,2666.0,3.21312806709666,,,,,31.6905851731684,,,737.182906967811,,-6.21192691521756,,,,,,,,,,,,,,1.0542727837491,22278423076.9231,,,,,,,1.27118003368378,,,26.9,40.734,13.705,53.897,95959099.0,79170095.0,,,
